price,discount_percent,inventory_level,rating,review_count,product_id,product_category,customer_region,payment_method,day,month,year,day_of_week,week_of_year,is_weekend,actual_quantity_sold,original_price,static_revenue,rule_price,rule_predicted_quantity,rule_revenue,ml_price,ml_predicted_demand,ml_revenue
249.75,30,139,2.1,304,3857,1,2,2,23,3,2022,2,12,0,1,249.75,249.75,224.775,1,224.775,274.725,2.7449594,754.1089586377144
301.83,5,140,3.0,182,3670,0,0,2,23,1,2022,6,3,1,1,301.83,301.83,271.647,1,271.647,332.01300000000003,2.7753482,921.4516774420739
179.86,10,109,4.7,424,2360,0,3,4,29,12,2023,4,52,0,2,179.86,359.72,161.87400000000002,2,323.74800000000005,197.84600000000003,2.9841285,590.3978823022843
192.59,5,61,4.9,278,2062,3,0,0,13,3,2022,6,10,1,3,192.59,577.77,192.59,3,577.77,211.84900000000002,2.8173366,596.8499327502251
167.83,5,24,1.1,160,958,0,3,0,16,12,2023,5,50,1,5,167.83,839.1500000000001,167.83,5,839.1500000000001,184.61300000000003,3.1192975,575.8628701844216
412.42,30,42,3.1,124,2371,0,3,1,11,6,2023,6,23,1,2,412.42,824.84,412.42,2,824.84,453.66200000000003,3.025862,1372.718596904278
426.57,10,80,4.0,107,1323,3,1,4,28,8,2023,0,35,0,3,426.57,1279.71,426.57,3,1279.71,469.22700000000003,2.9503474,1384.3826705117226
11.57,30,20,2.0,18,1951,5,0,0,6,11,2022,6,44,1,2,11.57,23.14,11.57,2,23.14,12.727000000000002,2.9919372,38.07838424158097
412.56,0,42,1.4,391,1884,1,0,2,26,12,2022,0,52,0,2,412.56,825.12,412.56,2,825.12,453.81600000000003,3.078812,1397.2140939159394
348.81,20,116,4.5,142,1988,4,1,2,24,5,2022,1,21,0,4,348.81,1395.24,313.92900000000003,4,1255.7160000000001,383.69100000000003,3.0215714,1159.3497511861326
370.47,30,30,2.0,274,2051,1,1,4,18,6,2023,6,24,1,5,370.47,1852.3500000000001,370.47,5,1852.3500000000001,407.51700000000005,2.885642,1175.9481919813159
62.69,30,61,2.8,158,2249,5,0,1,11,1,2022,1,2,0,4,62.69,250.76,62.69,4,250.76,68.959,3.2062674,221.1009906625748
430.49,15,96,3.7,242,3314,1,2,3,27,4,2022,2,17,0,2,430.49,860.98,430.49,2,860.98,473.53900000000004,2.8658574,1357.0952296979428
397.5,15,112,1.4,251,3888,0,2,2,31,8,2022,2,35,0,3,397.5,1192.5,357.75,3,1073.25,417.375,3.2553594,1358.705634266138
380.81,20,119,5.0,199,3011,0,0,4,2,7,2023,6,26,1,2,380.81,761.62,342.729,2,685.458,418.891,3.0357955,1271.6673919341565
371.61,20,27,1.7,153,931,5,1,2,14,4,2022,3,15,0,3,371.61,1114.83,371.61,3,1114.83,408.7710000000001,3.0168395,1233.1965009884836
464.38,0,50,2.1,151,1092,2,3,1,20,9,2023,2,38,0,1,464.38,464.38,464.38,1,464.38,487.599,3.2119906,1566.1634020650386
127.43,30,44,4.4,150,777,3,2,3,9,10,2023,0,41,0,5,127.43,637.1500000000001,127.43,5,637.1500000000001,140.17300000000003,3.1448965,440.82957811260235
272.02,15,53,2.9,400,3787,5,2,1,16,9,2023,5,37,1,5,272.02,1360.1,272.02,5,1360.1,299.222,2.9372206,878.881014421463
55.36,10,85,1.1,489,3871,3,0,1,30,10,2023,0,44,0,2,55.36,110.72,55.36,2,110.72,60.896,3.1117053,189.49040614318847
473.28,0,86,1.7,176,3973,4,0,1,6,8,2022,5,31,1,1,473.28,473.28,473.28,1,473.28,520.6080000000001,2.971418,1546.9439321136476
255.21,20,134,3.9,334,1309,1,2,2,24,12,2022,5,51,1,2,255.21,510.42,229.68900000000002,2,459.37800000000004,280.73100000000005,2.664433,747.9889412169458
251.5,30,89,4.9,486,3856,1,2,2,11,2,2022,4,6,0,3,251.5,754.5,251.5,3,754.5,276.65000000000003,3.2749693,906.0202677369119
207.19,15,89,4.5,276,2727,4,0,2,13,8,2022,5,32,1,5,207.19,1035.95,207.19,5,1035.95,227.90900000000002,3.0514488,695.4526495780946
448.64,30,88,1.0,468,458,3,2,0,12,5,2022,3,19,0,2,448.64,897.28,448.64,2,897.28,493.504,3.4165995,1686.1055256195068
340.17,20,124,3.2,289,2953,5,2,4,21,11,2022,0,47,0,2,340.17,680.34,306.153,2,612.306,374.18700000000007,3.0137308,1127.6988735344412
161.48,15,105,3.0,190,3772,3,1,0,1,5,2023,0,18,0,1,161.48,161.48,145.332,1,145.332,177.62800000000001,3.0205817,536.5398901615143
424.54,15,51,3.7,120,2496,3,3,4,2,7,2022,5,26,1,2,424.54,849.08,424.54,2,849.08,466.9940000000001,3.08762,1441.900023579121
351.0,0,149,4.7,43,1388,2,2,0,19,2,2023,6,7,1,5,351.0,1755.0,315.90000000000003,5,1579.5000000000002,386.1,3.1440346,1213.9117683649065
186.24,0,100,3.5,461,403,3,2,1,28,6,2022,1,26,0,4,186.24,744.96,186.24,4,744.96,204.86400000000003,2.9308774,600.4312773284913
367.56,15,66,3.8,289,1508,2,3,1,4,4,2022,0,14,0,1,367.56,367.56,367.56,1,367.56,404.31600000000003,2.9837413,1206.374340745926
104.77,5,99,2.0,224,3883,2,1,0,7,1,2022,4,1,0,1,104.77,104.77,104.77,1,104.77,115.247,3.5360348,407.51740518450737
238.58,30,88,4.8,251,3332,1,3,0,9,6,2023,4,23,0,2,238.58,477.16,238.58,2,477.16,262.43800000000005,3.0326781,795.889982369423
58.73,0,24,2.1,21,2855,4,1,4,3,1,2022,0,1,0,4,58.73,234.92,58.73,4,234.92,64.60300000000001,2.95965,191.20227151298525
476.39,20,66,1.2,24,1884,1,0,0,22,3,2022,1,12,0,3,476.39,1429.17,476.39,3,1429.17,524.029,3.0240653,1584.6978920986653
346.76,30,146,2.5,30,225,2,3,1,26,2,2022,5,8,1,1,346.76,346.76,312.084,1,312.084,381.43600000000004,2.8354828,1081.5552309446336
64.9,5,112,3.8,418,27,4,3,3,8,1,2023,6,1,1,2,64.9,129.8,58.410000000000004,2,116.82000000000001,71.39000000000001,3.118295,222.61507678747182
241.04,10,55,2.5,446,504,3,0,0,5,3,2022,5,9,1,4,241.04,964.16,241.04,4,964.16,265.144,2.921613,774.6481514339447
9.14,10,91,5.0,155,2404,4,0,4,18,7,2022,0,29,0,2,9.14,18.28,9.14,2,18.28,10.054000000000002,3.1308227,31.477291008949287
343.59,0,78,2.6,408,3802,0,0,1,14,12,2022,2,50,0,2,343.59,687.18,343.59,2,687.18,377.949,2.973438,1123.8079279296398
332.29,20,40,3.0,188,447,2,2,2,15,1,2023,6,2,1,5,332.29,1661.45,332.29,5,1661.45,365.51900000000006,2.940341,1074.7505004396442
17.32,20,19,3.6,207,3314,2,0,0,23,4,2022,5,16,1,5,17.32,86.6,19.052000000000003,5,95.26000000000002,19.052000000000003,2.929157,55.80629951953889
172.6,5,54,5.0,456,1476,4,1,1,8,4,2023,5,14,1,2,172.6,345.2,172.6,2,345.2,189.86,3.012047,571.8672533655167
389.03,20,13,4.1,86,2212,3,1,0,16,12,2022,4,50,0,1,389.03,389.03,427.933,1,427.933,427.933,2.930699,1254.1428622529506
296.71,20,80,2.6,412,3388,4,2,2,30,7,2022,5,30,1,1,296.71,296.71,296.71,1,296.71,326.38100000000003,2.9807887,972.8727992186547
405.76,10,113,2.6,168,2129,4,2,3,4,6,2023,6,22,1,2,405.76,811.52,365.184,2,730.368,446.336,3.066823,1368.8335130615235
241.59,5,19,4.5,300,3010,2,0,2,8,9,2023,4,36,0,2,241.59,483.18,265.749,2,531.498,265.749,2.8985264,770.2805002806188
97.16,10,103,2.3,191,3163,2,1,1,26,5,2022,3,21,0,5,97.16,485.79999999999995,87.444,5,437.22,106.876,2.932493,313.4131188135147
394.85,10,64,2.8,246,2689,0,3,1,9,5,2022,0,19,0,3,394.85,1184.5500000000002,394.85,3,1184.5500000000002,434.33500000000004,3.079549,1337.5559471309186
300.49,0,44,3.0,299,3207,2,0,1,10,8,2023,3,32,0,2,300.49,600.98,300.49,2,600.98,330.53900000000004,3.0432143,1005.9010184941293
248.62,15,36,4.8,282,762,5,2,4,16,12,2023,5,50,1,5,248.62,1243.1,248.62,5,1243.1,273.482,3.147699,860.8390500960351
232.91,15,54,4.4,433,1011,2,1,1,15,3,2022,1,11,0,2,232.91,465.82,232.91,2,465.82,256.201,2.9397614,753.1698104984761
96.5,10,117,2.6,180,1963,2,0,1,6,12,2023,2,49,0,1,96.5,96.5,86.85000000000001,1,86.85000000000001,106.15,2.9763272,315.9371302485466
324.72,15,55,4.0,41,3019,0,3,1,14,9,2023,3,37,0,5,324.72,1623.6000000000001,324.72,5,1623.6000000000001,357.19200000000006,3.0892663,1103.4612083015443
71.94,0,46,3.8,270,465,5,2,4,3,5,2022,1,18,0,3,71.94,215.82,71.94,3,215.82,79.134,3.0058026,237.8611854314804
69.38,15,101,3.0,208,3726,3,2,0,24,12,2022,5,51,1,4,69.38,277.52,62.442,4,249.768,72.849,3.02469,220.3456354572773
362.49,0,53,5.0,421,765,1,3,2,26,11,2022,5,47,1,1,362.49,362.49,362.49,1,362.49,398.73900000000003,3.267381,1302.8322137525083
265.58,15,68,1.9,223,3925,3,2,2,10,5,2022,1,19,0,3,265.58,796.74,265.58,3,796.74,292.13800000000003,3.0043108,877.6733620247842
172.82,5,125,3.6,484,2250,1,3,1,24,7,2023,0,30,0,3,172.82,518.46,155.538,3,466.61400000000003,190.102,3.0745099,584.4704732317924
84.16,30,47,4.7,431,1193,3,1,4,12,8,2023,5,32,1,4,84.16,336.64,84.16,4,336.64,92.57600000000001,2.9062102,269.0453140029907
108.64,30,139,4.7,211,588,2,2,3,15,1,2023,6,2,1,1,108.64,108.64,97.776,1,97.776,119.504,2.8908,345.4621631088257
341.06,0,137,4.9,210,202,5,2,4,4,8,2022,3,31,0,4,341.06,1364.24,306.954,4,1227.816,375.16600000000005,3.192665,1197.7793949432375
367.99,0,99,1.2,370,845,3,1,0,29,9,2022,3,39,0,4,367.99,1471.96,367.99,4,1471.96,404.78900000000004,2.8914132,1170.412262600422
214.67,20,114,1.8,257,2935,3,2,1,3,2,2023,4,5,0,1,214.67,214.67,193.203,1,193.203,236.137,3.1124792,734.9715031881333
58.74,0,46,1.0,5,3805,2,0,2,2,12,2022,4,48,0,1,58.74,58.74,58.74,1,58.74,64.614,3.0051885,194.17724748516085
414.9,0,125,4.8,432,40,3,3,4,18,12,2022,6,50,1,5,414.9,2074.5,373.40999999999997,5,1867.0499999999997,456.39,3.1581936,1441.3679717445373
217.6,20,97,3.7,221,2136,4,2,1,19,3,2022,5,11,1,3,217.6,652.8,217.6,3,652.8,239.36,3.0966961,741.2251876831056
268.36,0,23,1.1,160,2447,2,0,3,13,10,2022,3,41,0,3,268.36,805.08,268.36,3,805.08,295.196,3.1235542,922.0607144012451
376.52,5,11,4.5,467,3711,1,3,1,8,4,2022,4,14,0,4,376.52,1506.08,414.172,4,1656.688,414.172,3.0849822,1277.7132298269273
244.13,5,72,1.6,135,1418,5,1,2,3,12,2023,6,48,1,1,244.13,244.13,244.13,1,244.13,268.543,2.9447105,790.7813899452686
391.35,10,21,4.6,284,2544,3,2,3,6,10,2022,3,40,0,3,391.35,1174.0500000000002,391.35,3,1174.0500000000002,430.48500000000007,3.1074708,1337.7195461618903
240.72,15,58,2.6,50,1227,4,1,3,28,5,2023,6,21,1,2,240.72,481.44,240.72,2,481.44,264.79200000000003,3.0142355,798.1454455947877
60.21,10,127,1.6,330,289,4,2,1,19,12,2023,1,51,0,1,60.21,60.21,54.189,1,54.189,66.23100000000001,2.8808029,190.79845486950876
114.87,15,129,3.8,455,1916,4,0,2,27,9,2023,2,39,0,5,114.87,574.35,103.38300000000001,5,516.9150000000001,126.35700000000001,3.013909,380.82851233649257
134.75,5,46,2.8,250,1061,4,3,2,5,9,2023,1,36,0,2,134.75,269.5,134.75,2,269.5,148.22500000000002,3.173418,470.37988972663885
370.6,0,121,3.8,333,2248,0,0,3,13,6,2022,0,24,0,4,370.6,1482.4,333.54,4,1334.16,407.6600000000001,2.9884531,1218.272811045647
359.55,30,61,4.1,73,1347,1,2,1,24,12,2022,5,51,1,5,359.55,1797.75,359.55,5,1797.75,395.50500000000005,2.8717704,1135.799544904232
237.74,10,95,2.4,169,193,2,2,1,24,12,2023,6,51,1,5,237.74,1188.7,237.74,5,1188.7,261.514,2.9600348,774.0905530462265
280.03,15,143,3.7,409,2743,5,2,1,4,3,2023,5,9,1,4,280.03,1120.12,252.027,4,1008.108,308.033,3.0189965,929.9505418388844
382.26,30,34,2.6,326,3622,5,1,2,7,10,2023,5,40,1,1,382.26,382.26,382.26,1,382.26,420.48600000000005,2.9870803,1256.0254620022774
128.94,15,38,4.1,149,3440,5,2,1,27,9,2022,1,39,0,4,128.94,515.76,128.94,4,515.76,141.834,3.1679013,449.31610979890826
41.53,10,136,4.7,335,3799,2,0,3,31,3,2022,3,13,0,2,41.53,83.06,37.377,2,74.754,45.68300000000001,2.8100247,128.3703601202965
121.65,20,33,1.8,25,1491,2,3,4,15,5,2022,6,19,1,5,121.65,608.25,121.65,5,608.25,133.81500000000003,2.8841927,385.94824684023865
445.83,15,69,1.9,68,1441,3,3,2,26,8,2023,5,34,1,3,445.83,1337.49,445.83,3,1337.49,490.413,3.1008503,1520.6973196070194
218.09,0,41,4.8,263,714,3,2,4,16,9,2022,4,37,0,3,218.09,654.27,218.09,3,654.27,239.89900000000003,2.9837847,715.8069598913194
355.48,10,74,3.0,485,1972,5,2,3,11,7,2023,1,28,0,3,355.48,1066.44,355.48,3,1066.44,391.0280000000001,2.9932644,1170.450206162453
278.95,0,86,2.0,266,3824,0,3,2,27,4,2022,2,17,0,3,278.95,836.8499999999999,278.95,3,836.8499999999999,306.845,2.9180279,895.3822641658784
131.78,30,68,1.4,125,235,5,2,4,17,11,2022,3,46,0,1,131.78,131.78,131.78,1,131.78,144.95800000000003,3.0239818,438.3503551583291
382.3,15,31,3.2,76,1950,3,3,2,16,11,2022,2,46,0,3,382.3,1146.9,382.3,3,1146.9,420.53000000000003,3.117147,1310.8538148069383
196.08,5,138,2.6,284,1065,5,1,0,30,12,2023,5,52,1,2,196.08,392.16,176.472,2,352.944,215.68800000000005,3.0222154,651.8555879402162
243.1,0,118,2.5,104,3595,2,0,4,2,6,2022,3,22,0,5,243.1,1215.5,218.79,5,1093.95,267.41,2.8492038,761.905594842434
406.66,30,63,2.0,370,1303,4,0,1,30,4,2023,6,17,1,4,406.66,1626.64,406.66,4,1626.64,447.3260000000001,3.0933883,1383.753023191929
130.87,5,14,4.9,42,3698,3,3,4,26,1,2022,2,4,0,1,130.87,130.87,143.95700000000002,1,143.95700000000002,143.95700000000002,2.923236,420.82026948452
328.61,0,131,4.3,76,1901,5,0,3,22,1,2023,6,3,1,3,328.61,985.83,295.749,3,887.2470000000001,361.47100000000006,3.1139786,1125.612967320204
445.78,20,117,4.7,86,1486,2,2,1,9,6,2022,3,23,0,1,445.78,445.78,401.202,1,401.202,490.358,3.1315458,1535.5785266137123
473.49,0,20,3.7,334,2454,5,1,1,13,5,2022,4,19,0,5,473.49,2367.45,473.49,5,2367.45,497.16450000000003,3.013938,1498.422954009533
498.33,10,33,4.0,176,2375,0,3,1,2,3,2022,2,9,0,3,498.33,1494.99,498.33,3,1494.99,548.163,2.9291744,1605.6650393543243
373.07,5,141,1.5,254,2758,5,3,1,7,2,2023,1,6,0,2,373.07,746.14,335.763,2,671.526,410.377,3.1635656,1298.2545748739242
409.16,10,105,1.7,287,479,1,0,2,7,12,2023,3,49,0,1,409.16,409.16,368.244,1,368.244,450.0760000000001,2.731897,1229.5613262491229
159.55,20,65,3.8,230,3627,3,2,3,10,9,2023,6,36,1,3,159.55,478.65000000000003,159.55,3,478.65000000000003,175.50500000000002,3.0303273,531.8375963139534
122.11,15,85,1.8,385,288,2,3,1,29,7,2023,5,30,1,5,122.11,610.55,122.11,5,610.55,134.321,3.0838351,414.2238178210258
321.58,20,89,4.2,77,3972,3,1,2,30,11,2023,3,48,0,4,321.58,1286.32,321.58,4,1286.32,353.738,3.0017502,1061.8331231389045
298.38,0,37,1.5,103,888,5,0,0,3,12,2023,6,48,1,3,298.38,895.14,298.38,3,895.14,328.218,2.8434944,933.2860499954224
488.42,0,125,3.2,141,3728,5,2,0,21,2,2023,1,8,0,1,488.42,488.42,439.57800000000003,1,439.57800000000003,488.42,2.966041,1448.6737882518769
128.36,30,84,1.5,122,2988,1,3,2,25,1,2023,2,4,0,4,128.36,513.44,128.36,4,513.44,141.19600000000003,2.9089468,410.7316456727982
299.7,0,67,2.0,177,593,3,0,1,27,9,2022,1,39,0,1,299.7,299.7,299.7,1,299.7,329.67,2.962919,976.7855056786537
25.43,15,11,3.0,54,3424,3,0,1,6,8,2023,6,31,1,2,25.43,50.86,27.973000000000003,2,55.946000000000005,27.973000000000003,3.0943432,86.55806192588807
267.79,20,11,4.2,326,3892,0,0,2,12,5,2022,3,19,0,5,267.79,1338.95,294.5690000000001,5,1472.8450000000003,294.5690000000001,3.1035209,914.2010392165187
271.34,20,129,2.6,275,1486,1,0,0,28,12,2023,3,52,0,1,271.34,271.34,244.206,1,244.206,298.474,2.872852,857.4716538214683
277.91,30,84,3.1,186,1514,4,0,2,26,6,2023,0,26,0,1,277.91,277.91,277.91,1,277.91,305.7010000000001,2.973155,908.8964632787706
381.27,5,122,1.2,345,2938,4,0,1,14,3,2022,0,11,0,1,381.27,381.27,343.143,1,343.143,419.397,2.9416738,1233.7291480965614
485.07,10,93,2.9,179,869,2,2,2,1,4,2023,5,13,1,3,485.07,1455.21,485.07,3,1455.21,533.577,2.855587,1523.6755476951598
223.72,10,14,3.4,322,540,0,2,0,13,7,2023,3,28,0,5,223.72,1118.6,246.092,5,1230.46,246.092,3.0113988,741.0811515865327
323.14,5,68,1.9,16,841,0,3,4,2,3,2023,3,9,0,1,323.14,323.14,323.14,1,323.14,355.454,2.888119,1026.5934447398186
165.79,20,54,1.3,2,757,4,2,2,21,2,2022,0,8,0,4,165.79,663.16,165.79,4,663.16,182.369,3.1143417,567.9593880233765
479.16,5,114,4.8,94,2264,4,3,0,14,12,2023,3,50,0,3,479.16,1437.48,431.244,3,1293.732,527.076,2.8647463,1509.939037774086
9.86,20,65,3.9,339,3810,4,1,1,20,7,2023,3,29,0,4,9.86,39.44,9.86,4,39.44,10.846,2.9601285,32.105554207324985
40.43,15,111,4.5,212,505,4,2,3,9,12,2023,5,49,1,5,40.43,202.15,36.387,5,181.935,44.473000000000006,2.938188,130.6700383048058
290.87,20,92,1.8,94,1743,1,2,0,3,12,2022,5,48,1,4,290.87,1163.48,290.87,4,1163.48,319.95700000000005,3.0398114,972.6089273931982
412.24,5,47,4.3,172,671,0,3,4,26,8,2022,4,34,0,1,412.24,412.24,412.24,1,412.24,453.46400000000006,3.024888,1371.677829551697
343.85,10,71,4.2,421,3296,3,1,4,20,6,2022,0,25,0,3,343.85,1031.5500000000002,343.85,3,1031.5500000000002,378.23500000000007,3.0474548,1152.6540791320804
162.87,5,35,2.6,285,2887,2,0,1,26,6,2023,0,26,0,1,162.87,162.87,162.87,1,162.87,179.157,2.920016,523.1413155305386
187.31,5,51,1.7,190,2645,3,2,3,9,3,2022,2,10,0,1,187.31,187.31,187.31,1,187.31,206.04100000000003,3.1457286,648.1490640215875
372.56,5,99,4.0,357,3354,5,3,4,23,6,2023,4,25,0,1,372.56,372.56,372.56,1,372.56,409.81600000000003,2.8042035,1149.2074657707215
220.33,30,76,4.9,360,1931,0,0,3,10,4,2022,6,14,1,2,220.33,440.66,220.33,2,440.66,242.36300000000003,2.9885137,724.3051478397847
496.87,5,33,3.0,99,2855,2,3,4,29,11,2023,2,48,0,5,496.87,2484.35,496.87,5,2484.35,546.557,2.841448,1553.0133320400716
254.23,5,116,1.4,165,843,2,2,0,10,5,2023,2,19,0,4,254.23,1016.92,228.807,4,915.228,279.653,3.0680747,857.9962949786187
204.56,5,112,2.3,317,314,3,1,4,15,3,2023,2,11,0,4,204.56,818.24,184.104,4,736.416,225.01600000000002,2.8235428,635.3423141841889
148.7,15,119,1.6,91,2548,3,1,1,25,1,2022,1,4,0,4,148.7,594.8,133.82999999999998,4,535.3199999999999,163.57,3.0304356,495.6883448982239
65.83,20,119,3.3,438,3028,2,3,3,28,9,2022,2,39,0,2,65.83,131.66,59.247,2,118.494,72.41300000000001,2.949149,213.55671881461146
432.62,5,107,4.0,188,772,5,3,3,14,4,2023,4,15,0,4,432.62,1730.48,389.358,4,1557.432,475.88200000000006,3.0803745,1465.8947679553035
301.7,10,14,1.4,151,1172,1,2,0,8,9,2023,4,36,0,1,301.7,301.7,331.87,1,331.87,331.87,3.2019439,1062.6291135835647
147.01,15,74,2.1,263,188,0,1,3,30,3,2022,2,13,0,2,147.01,294.02,147.01,2,294.02,161.711,2.9409664,475.58661229062085
66.08,10,63,2.8,399,303,2,0,4,10,12,2023,6,49,1,3,66.08,198.24,66.08,3,198.24,72.688,3.0181563,219.3837444114685
284.22,15,19,4.7,73,1483,1,2,2,1,4,2023,5,13,1,5,284.22,1421.1000000000001,312.64200000000005,5,1563.2100000000003,312.64200000000005,2.8447866,889.3997859477998
499.32,0,68,2.1,378,68,5,3,4,31,1,2022,0,5,0,1,499.32,499.32,499.32,1,499.32,549.2520000000001,3.2575047,1789.1909723711017
321.09,15,37,4.3,196,406,1,3,4,6,6,2022,0,23,0,4,321.09,1284.36,321.09,4,1284.36,353.199,3.1440494,1110.4751061680317
389.38,30,127,4.8,3,1231,3,1,1,1,5,2022,6,17,1,3,389.38,1168.1399999999999,350.442,3,1051.326,428.31800000000004,3.108492,1331.423032588959
286.55,15,125,3.5,222,3993,5,3,2,3,11,2023,4,44,0,4,286.55,1146.2,257.89500000000004,4,1031.5800000000002,315.20500000000004,2.9918168,943.0356015551091
27.18,20,21,3.0,83,277,3,0,1,31,5,2023,2,22,0,3,27.18,81.53999999999999,27.18,3,81.53999999999999,29.898000000000003,3.222345,96.34167421102525
343.35,20,30,1.8,230,829,0,0,4,30,8,2022,1,35,0,3,343.35,1030.0500000000002,343.35,3,1030.0500000000002,377.68500000000006,2.9916995,1129.920009480715
12.52,5,82,2.9,93,3604,0,3,1,22,8,2022,0,34,0,5,12.52,62.599999999999994,12.52,5,62.599999999999994,13.772,2.9265857,40.30493790626526
396.22,5,114,4.4,48,3168,0,0,0,20,12,2022,1,51,0,5,396.22,1981.1000000000001,356.598,5,1782.99,435.84200000000004,2.925064,1274.865781768799
421.87,20,12,1.0,473,3250,1,3,3,6,1,2023,4,1,0,5,421.87,2109.35,464.057,5,2320.285,442.9635,2.9997215,1328.7671466693878
85.38,10,19,3.2,212,959,3,2,2,20,3,2023,0,12,0,4,85.38,341.52,93.918,4,375.672,93.918,3.0125663,282.9342043976784
24.25,20,56,4.4,75,2591,2,0,3,17,9,2022,5,37,1,2,24.25,48.5,24.25,2,48.5,26.675,3.1232045,83.31147922873497
65.21,30,136,2.6,185,1085,1,0,1,7,9,2022,2,36,0,1,65.21,65.21,58.68899999999999,1,58.68899999999999,71.731,3.04289,218.2695477452278
220.2,20,107,1.4,281,2672,4,0,1,5,12,2022,0,49,0,5,220.2,1101.0,198.18,5,990.9000000000001,242.22,3.1094913,753.1809943771362
328.53,10,51,2.8,405,1526,5,2,4,22,8,2022,0,34,0,3,328.53,985.5899999999999,328.53,3,985.5899999999999,361.383,3.009601,1087.6186801686285
133.67,15,78,3.4,94,2777,1,3,4,8,5,2022,6,18,1,2,133.67,267.34,133.67,2,267.34,147.037,3.0586584,449.73594949030877
322.88,30,73,4.4,137,2532,3,3,3,20,10,2023,4,42,0,5,322.88,1614.4,322.88,5,1614.4,355.168,2.957745,1050.4964028778077
425.77,10,122,1.1,451,2548,4,1,0,13,6,2022,0,24,0,2,425.77,851.54,383.193,2,766.386,468.34700000000004,3.2392116,1517.075016161442
8.76,30,70,2.3,46,3709,3,1,2,3,8,2023,3,31,0,1,8.76,8.76,8.76,1,8.76,9.636000000000001,3.166046,30.508018332481388
77.9,30,67,2.4,37,344,0,1,4,3,3,2023,4,9,0,4,77.9,311.6,77.9,4,311.6,85.69000000000001,2.8666074,245.6395904707909
49.15,10,98,2.7,284,1035,3,1,0,12,5,2023,4,19,0,5,49.15,245.75,49.15,5,245.75,54.065000000000005,3.1472354,170.15528155088427
240.81,5,32,3.7,375,3466,0,2,0,1,7,2022,4,26,0,5,240.81,1204.05,240.81,5,1204.05,264.891,3.0094523,797.1768405861856
241.15,20,138,3.3,193,121,0,2,3,25,1,2023,2,4,0,4,241.15,964.6,217.035,4,868.14,265.26500000000004,2.8009112,742.9837063181402
373.9,30,138,1.5,31,1025,3,3,4,12,7,2023,2,28,0,2,373.9,747.8,336.51,2,673.02,411.29,3.062363,1259.519240972996
136.85,30,140,4.9,43,3494,0,3,2,21,1,2023,5,3,1,5,136.85,684.25,123.16499999999999,5,615.8249999999999,150.535,2.991201,450.2804310822487
421.41,15,77,4.4,206,1291,2,3,0,22,4,2023,5,16,1,5,421.41,2107.05,421.41,5,2107.05,463.55100000000004,3.1052375,1439.4359409356118
170.58,10,18,4.2,24,2434,5,3,4,18,5,2022,2,20,0,1,170.58,170.58,187.63800000000003,1,187.63800000000003,187.63800000000003,3.000488,563.0055753808023
