Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Revenue,Month,DayOfWeek,Rule-Based Price,Rule-Based Revenue,Optimized Price,Optimized Units Pred,ML Revenue,Static Revenue
2023-08-08,S002,P0008,Toys,North,496,57,194,53.99,30.89,20,Sunny,0,35.74,Winter,1760.73,8,1,32.4345,1848.7665,37.068,47.65429,1766.4491937561033,1760.73
2023-08-08,S002,P0007,Clothing,South,175,23,82,38.19,12.59,10,Rainy,0,16.96,Summer,289.57,8,1,16.286424000000004,374.5877520000001,15.107999999999999,35.831802,541.3468701782226,289.57
2023-08-08,S002,P0017,Groceries,South,88,36,110,54.32,37.4,10,Sunny,1,33.9,Winter,1346.4,8,1,43.77296000000001,1575.8265600000004,44.879999999999995,51.56206,2314.1053115844725,1346.3999999999999
2023-08-09,S004,P0006,Toys,South,120,67,87,67.7,32.29,10,Cloudy,0,28.43,Spring,2163.43,8,2,32.209275,2158.021425,38.748,62.97036,2439.9755016174313,2163.43
2023-08-09,S004,P0007,Electronics,East,378,32,102,44.47,45.07,15,Rainy,1,48.77,Winter,1442.24,8,2,50.47840000000001,1615.3088000000002,54.083999999999996,39.620914,2142.8575376129147,1442.24
2023-08-09,S004,P0008,Clothing,East,138,87,37,77.28,51.17,10,Cloudy,1,55.91,Winter,4451.79,8,2,56.414925000000004,4908.098475000001,61.403999999999996,73.233894,4496.854048553467,4451.79
2023-08-09,S004,P0013,Clothing,West,386,313,70,307.52,15.16,20,Sunny,1,10.69,Autumn,4745.08,8,2,15.554160000000001,4868.45208,18.192,304.74756,5543.9675859375,4745.08
2023-08-09,S004,P0010,Toys,North,247,71,73,75.75,40.0,20,Rainy,0,44.05,Autumn,2840.0,8,2,42.0,2982.0,48.0,71.42694,3428.4931640625,2840.0
2023-08-09,S004,P0011,Toys,South,84,35,26,52.48,99.22,10,Sunny,1,100.9,Spring,3472.7,8,2,116.12708800000001,4064.4480800000006,119.064,48.460247,5769.870853546142,3472.7
2023-08-09,S004,P0012,Furniture,South,89,5,129,12.29,15.35,15,Rainy,0,15.45,Spring,76.75,8,2,18.9112,94.55600000000001,18.419999999999998,9.417894,173.47761417388915,76.75
2023-08-09,S004,P0005,Groceries,North,278,257,53,267.8,52.01,10,Rainy,1,47.42,Winter,13366.57,8,2,53.36226,13714.10082,62.41199999999999,259.03152,16166.67551696777,13366.57
2023-08-09,S004,P0009,Groceries,West,63,49,111,41.63,53.01,5,Rainy,0,57.46,Winter,2597.49,8,2,55.6605,2727.3645,63.611999999999995,37.23146,2368.3676698608397,2597.49
2023-08-09,S004,P0004,Electronics,West,457,39,143,54.03,66.04,20,Cloudy,1,64.77,Winter,2575.5600000000004,8,2,73.77988800000001,2877.4156320000006,79.248,49.494797,3922.363653076172,2575.5600000000004
2023-08-09,S003,P0018,Clothing,East,305,240,127,256.83,82.01,10,Rainy,1,80.72,Winter,19682.4,8,2,84.14226000000001,20194.1424,98.412,248.50987,24456.353566223144,19682.4
2023-08-09,S004,P0002,Clothing,West,356,335,79,351.7,69.6,0,Sunny,0,71.06,Spring,23316.0,8,2,71.40959999999998,23922.215999999993,83.52,346.66382,28953.362109374997,23315.999999999996
2023-08-09,S004,P0001,Toys,East,333,304,147,322.92,50.57,20,Sunny,0,54.65,Summer,15373.28,8,2,54.6156,16603.1424,60.684,318.48212,19326.76876977539,15373.28
2023-08-09,S003,P0020,Furniture,South,195,101,132,98.2,32.5,15,Snowy,0,27.54,Autumn,3282.5,8,2,30.875,3118.375,39.0,92.7042,3615.4638290405273,3282.5
2023-08-09,S003,P0019,Furniture,West,229,183,138,201.87,12.7,0,Rainy,1,7.79,Autumn,2324.1,8,2,12.065,2207.895,15.239999999999998,194.86763,2969.782681274414,2324.1
2023-08-09,S003,P0017,Furniture,East,403,202,148,218.69,76.68,5,Cloudy,0,81.67,Autumn,15489.36,8,2,80.51400000000001,16263.828000000001,92.016,213.5115,19646.474655761718,15489.36
2023-08-09,S003,P0016,Electronics,West,311,164,149,156.56,25.07,10,Sunny,0,26.0,Autumn,4111.4800000000005,8,2,25.07,4111.4800000000005,30.084,151.5778,4560.066672546387,4111.4800000000005
2023-08-09,S003,P0015,Furniture,West,272,236,123,226.99,89.82,0,Sunny,1,92.75,Spring,21197.52,8,2,92.15532,21748.65552,107.78399999999999,222.07199,23935.807474365232,21197.519999999997
2023-08-09,S003,P0014,Toys,South,483,273,124,291.44,81.8,15,Snowy,0,81.23,Spring,22331.4,8,2,83.9268,22912.0164,98.16,286.01205,28074.943264160156,22331.399999999998
2023-08-09,S003,P0013,Toys,West,417,134,124,130.7,66.56,10,Snowy,0,64.69,Spring,8919.04,8,2,66.56,8919.04,79.872,123.71266,9881.17771875,8919.04
2023-08-09,S004,P0014,Clothing,West,56,56,126,68.16,33.24,20,Snowy,1,29.19,Summer,1861.44,8,2,38.90409600000001,2178.629376000001,39.888,52.681244,2101.3494565429687,1861.44
2023-08-09,S004,P0003,Toys,North,263,241,94,247.02,48.43,20,Rainy,0,52.61,Winter,11671.63,8,2,52.3044,12605.3604,58.116,242.81897,14111.667244628907,11671.63
2023-08-09,S004,P0015,Groceries,West,216,84,176,93.26,48.63,20,Sunny,0,47.04,Summer,4084.92,8,2,48.63,4084.92,58.356,87.74853,5120.653072357178,4084.92
2023-08-09,S005,P0007,Toys,North,228,13,34,21.72,77.43,5,Rainy,0,80.06,Winter,1006.59,8,2,82.38552,1071.01176,85.17300000000002,16.287924,1387.291334913254,1006.5900000000001
2023-08-09,S004,P0017,Furniture,East,342,330,29,344.57,81.96,20,Rainy,0,80.52,Autumn,27046.8,8,2,84.09096,27750.016799999998,98.35199999999999,326.28622,32090.902738769528,27046.8
2023-08-09,S005,P0019,Clothing,South,477,426,152,419.55,55.31,5,Sunny,0,52.82,Autumn,23562.06,8,2,56.74806,24174.67356,66.372,410.93674,27274.693112182616,23562.06
2023-08-09,S005,P0018,Toys,North,343,256,38,261.71,46.96,10,Snowy,1,47.16,Winter,12021.76,8,2,48.180960000000006,12334.325760000002,56.352,256.78415,14470.300374023436,12021.76
2023-08-09,S005,P0017,Electronics,North,118,98,55,97.74,50.15,0,Rainy,1,49.17,Spring,4914.7,8,2,50.15,4914.7,60.17999999999999,92.448265,5563.536592254638,4914.7
2023-08-09,S005,P0016,Electronics,East,266,210,194,203.18,78.28,20,Snowy,1,74.19,Summer,16438.8,8,2,80.31528,16866.2088,93.93599999999999,200.07297,18794.05427783203,16438.8
2023-08-09,S005,P0015,Clothing,East,251,117,78,113.26,52.27,10,Sunny,1,55.06,Autumn,6115.59,8,2,54.883500000000005,6421.369500000001,62.724000000000004,108.83022,6826.26691268921,6115.59
2023-08-09,S005,P0014,Toys,East,343,313,112,332.23,95.36,10,Snowy,0,91.8,Spring,29847.68,8,2,97.83936000000001,30623.719680000006,114.432,325.15118,37207.700296875,29847.68
2023-08-09,S005,P0013,Clothing,East,131,8,140,5.42,16.64,0,Cloudy,0,21.61,Spring,133.12,8,2,18.3456,146.7648,19.968,7.2326064,144.42068481445312,133.12
2023-08-09,S005,P0012,Clothing,East,369,348,33,342.54,55.15,5,Snowy,1,50.69,Summer,19192.2,8,2,56.5839,19691.1972,66.17999999999999,334.43417,22132.85360778808,19192.2
2023-08-09,S005,P0011,Toys,South,215,120,87,112.5,27.64,0,Rainy,1,24.6,Summer,3316.8,8,2,26.258,3150.96,33.168,105.85805,3511.0997189941404,3316.8
2023-08-09,S005,P0010,Clothing,West,326,88,102,107.7,71.61,5,Snowy,1,72.47,Summer,6301.68,8,2,76.19304000000001,6704.987520000001,85.932,102.85744,8838.745287780763,6301.68
2023-08-09,S004,P0016,Groceries,West,170,106,137,113.54,33.47,15,Sunny,1,32.25,Spring,3547.82,8,2,33.47,3547.8199999999997,40.163999999999994,106.80559,4289.7396271362295,3547.8199999999997
2023-08-09,S005,P0009,Furniture,West,265,205,62,203.84,66.59,20,Sunny,1,65.73,Autumn,13650.95,8,2,68.32134,14005.874700000002,79.908,199.37398,15931.5758069458,13650.95
2023-08-09,S003,P0012,Groceries,West,439,24,101,33.65,37.89,20,Rainy,1,38.7,Summer,909.36,8,2,40.314960000000006,967.5590400000001,44.7102,31.204016,1395.1377841724395,909.36
2023-08-09,S005,P0006,Toys,South,325,204,39,221.75,96.87,15,Cloudy,0,95.91,Summer,19761.48,8,2,104.35805100000002,21289.042404000003,116.244,214.8467,24974.639207336426,19761.48
2023-08-09,S005,P0005,Electronics,North,141,135,119,132.04,68.32,10,Cloudy,0,64.89,Summer,9223.2,8,2,68.1492,9200.142,81.984,129.05066,10580.0892421875,9223.199999999999
2023-08-09,S005,P0004,Clothing,West,101,0,98,17.11,10.83,10,Snowy,0,8.39,Spring,0.0,8,2,12.675432,0.0,12.996,13.441506,174.68581698989868,0.0
2023-08-09,S005,P0003,Electronics,South,132,18,175,33.38,91.33,5,Cloudy,0,95.01,Winter,1643.94,8,2,112.23726360000002,2020.2707448000003,109.59599999999999,30.659857,3360.19766544342,1643.94
2023-08-09,S005,P0002,Clothing,East,332,232,193,228.85,21.97,15,Rainy,1,21.02,Spring,5097.04,8,2,22.54122,5229.56304,26.363999999999997,222.50298,5866.068445129394,5097.04
2023-08-09,S005,P0001,Groceries,North,218,13,95,5.86,67.25,20,Snowy,0,69.09,Spring,874.25,8,2,67.25,874.25,76.665,9.735695,746.3870483779908,874.25
2023-08-09,S004,P0020,Toys,East,340,9,170,19.03,15.35,0,Sunny,0,19.66,Winter,138.15,8,2,18.0516,162.4644,18.419999999999998,14.520516,267.4679120063781,138.15
2023-08-09,S004,P0019,Clothing,North,477,475,195,478.11,77.44,15,Rainy,1,74.82,Winter,36784.0,8,2,79.45344,37740.384,92.928,465.43497,43251.9406171875,36784.0
2023-08-09,S004,P0018,Furniture,East,484,61,123,74.42,46.18,5,Snowy,0,48.43,Autumn,2816.98,8,2,49.13552,2997.26672,55.416,66.25971,3671.848212341308,2816.98
2023-08-09,S005,P0008,Furniture,South,246,162,196,164.0,19.29,15,Rainy,1,19.47,Summer,3124.98,8,2,19.29,3124.98,23.148,156.6379,3625.85396282959,3124.98
2023-08-09,S003,P0011,Toys,North,432,248,112,251.82,52.49,0,Snowy,0,48.59,Summer,13017.52,8,2,53.85474000000001,13355.975520000002,62.988,244.35425,15391.385375976562,13017.52
2023-08-09,S005,P0020,Groceries,West,187,53,166,45.64,85.08,0,Cloudy,0,80.55,Winter,4509.24,8,2,84.8673,4497.9669,102.09599999999999,44.066414,4499.004591430664,4509.24
2023-08-09,S003,P0009,Electronics,North,325,65,162,67.42,50.46,5,Snowy,1,54.18,Winter,3279.9,8,2,52.983000000000004,3443.8950000000004,60.552,63.675728,3855.6926724243162,3279.9
2023-08-09,S002,P0002,Furniture,South,188,77,63,82.09,84.69,0,Cloudy,1,80.23,Winter,6521.13,8,2,84.478275,6504.827174999999,101.628,78.86056,8014.440743316651,6521.13
2023-08-09,S002,P0001,Groceries,South,276,130,145,147.84,31.06,15,Rainy,1,30.93,Winter,4037.8,8,2,31.06,4037.7999999999997,37.272,142.70752,5318.99466796875,4037.7999999999997
2023-08-09,S001,P0020,Electronics,East,174,56,83,61.24,50.14,5,Cloudy,0,53.39,Summer,2807.84,8,2,52.647000000000006,2948.2320000000004,60.168,56.94624,3426.3413365173337,2807.84
2023-08-09,S001,P0019,Toys,North,237,9,63,5.23,87.4,15,Cloudy,0,89.43,Autumn,786.6,8,2,87.1815,784.6335,104.88000000000001,10.150752,1064.6108768463137,786.6
2023-08-09,S001,P0018,Toys,South,154,139,121,154.59,17.86,0,Snowy,1,18.82,Summer,2482.54,8,2,17.86,2482.54,21.432,144.10199,3088.393844238281,2482.54
2023-08-09,S001,P0017,Toys,East,98,59,75,73.82,56.0,0,Cloudy,0,52.98,Winter,3304.0,8,2,68.81952000000001,4060.3516800000007,67.2,68.28582,4588.807104492188,3304.0
2023-08-09,S001,P0016,Furniture,West,221,34,57,45.19,14.5,10,Rainy,0,14.33,Winter,493.0,8,2,16.240000000000002,552.1600000000001,17.4,41.209522,717.0456871032715,493.0
2023-08-09,S001,P0015,Furniture,East,434,215,157,215.58,26.71,15,Cloudy,1,29.05,Winter,5742.650000000001,8,2,30.289140000000003,6512.165100000001,32.052,209.93275,6728.764647766113,5742.650000000001
2023-08-09,S001,P0014,Toys,North,386,20,130,31.27,86.76,10,Snowy,0,88.34,Winter,1735.2,8,2,92.31264,1846.2528,104.11200000000001,28.22874,2938.9506509399416,1735.2
2023-08-09,S001,P0013,Toys,South,488,463,178,472.85,37.32,20,Snowy,0,36.77,Summer,17279.16,8,2,38.29032,17728.41816,44.784,474.63464,21256.037876953123,17279.16
2023-08-09,S002,P0003,Clothing,South,443,302,78,294.36,74.25,0,Rainy,1,78.09,Autumn,22423.5,8,2,76.18050000000001,23006.511000000002,89.1,294.1424,26208.087396240233,22423.5
2023-08-09,S001,P0012,Electronics,West,179,46,21,48.99,30.18,10,Snowy,0,27.47,Spring,1388.28,8,2,28.671,1318.866,36.216,45.25973,1639.1264284973145,1388.28
2023-08-09,S001,P0010,Groceries,East,388,33,155,30.06,78.44,10,Snowy,0,79.1,Winter,2588.52,8,2,78.44,2588.52,94.128,25.579689,2407.7649686279296,2588.52
2023-08-09,S001,P0009,Electronics,West,57,24,52,18.46,72.05,15,Sunny,0,70.22,Winter,1729.1999999999998,8,2,72.05,1729.1999999999998,85.01899999999999,15.290253,1299.9619930725096,1729.1999999999998
2023-08-09,S001,P0008,Electronics,South,249,174,63,189.8,30.91,0,Rainy,1,35.82,Spring,5378.34,8,2,32.4555,5647.2570000000005,37.092,184.2245,6833.255249084473,5378.34
2023-08-09,S001,P0007,Clothing,South,76,66,98,62.54,47.92,0,Cloudy,1,50.14,Winter,3162.7200000000003,8,2,50.316,3320.856,57.504,56.576454,3253.3724201660157,3162.7200000000003
2023-08-09,S001,P0006,Groceries,East,216,102,180,116.26,31.88,15,Snowy,0,30.03,Summer,3251.76,8,2,31.88,3251.7599999999998,38.256,110.215965,4216.4219674072265,3251.7599999999998
2023-08-09,S001,P0005,Furniture,East,51,25,158,15.28,19.15,10,Rainy,1,18.31,Autumn,478.75,8,2,19.15,478.74999999999994,22.213999999999995,11.006515,244.49871419715876,478.74999999999994
2023-08-09,S001,P0004,Toys,South,381,259,120,263.03,49.66,0,Snowy,1,45.13,Winter,12861.94,8,2,50.95116,13196.35044,59.59199999999999,256.48938,15284.71512597656,12861.939999999999
2023-08-09,S001,P0003,Clothing,North,437,255,200,256.32,59.41,5,Snowy,1,62.69,Spring,15149.55,8,2,64.1628,16361.514000000001,71.29199999999999,252.36504,17991.608147277828,15149.55
2023-08-09,S001,P0002,Clothing,East,57,32,96,38.19,87.66,5,Sunny,1,89.01,Spring,2805.12,8,2,87.66,2805.12,92.9196,33.54509,3116.996318902588,2805.12
2023-08-09,S001,P0001,Furniture,North,470,455,88,462.39,74.81,20,Snowy,1,75.12,Winter,34038.55,8,2,76.75506,34923.5523,89.772,452.1037,40586.253242431645,34038.55
2023-08-09,S001,P0011,Clothing,North,381,295,111,313.17,72.1,5,Sunny,1,67.83,Summer,21269.5,8,2,73.9746,21822.506999999998,86.52,308.31543,26675.450976562497,21269.5
2023-08-09,S002,P0004,Groceries,North,316,270,60,284.22,54.55,20,Cloudy,0,51.82,Winter,14728.5,8,2,58.76671499999999,15867.013049999998,65.46,280.0819,18334.161774902343,14728.5
2023-08-09,S003,P0010,Clothing,South,482,52,72,69.2,91.54,5,Cloudy,0,87.56,Winter,4760.08,8,2,102.268488,5317.961376,109.848,67.35587,7398.907949157715,4760.08
2023-08-09,S002,P0006,Electronics,East,353,16,141,15.05,24.67,10,Rainy,0,25.63,Spring,394.72,8,2,24.67,394.72,29.604,11.536742,341.5337163963318,394.72
2023-08-09,S003,P0008,Furniture,East,108,9,111,7.89,74.36,15,Rainy,1,75.09,Spring,669.24,8,2,74.36,669.24,89.232,10.484361,935.5404735260009,669.24
2023-08-09,S003,P0007,Furniture,North,303,7,47,10.37,88.34,5,Snowy,1,92.8,Summer,618.38,8,2,93.99376000000001,657.95632,106.008,11.430716,1211.7472951812745,618.38
2023-08-09,S003,P0006,Groceries,North,375,145,90,147.62,10.81,15,Rainy,0,5.9,Winter,1567.45,8,2,10.2695,1489.0775,12.972,141.6992,1838.1220676879882,1567.45
2023-08-09,S003,P0005,Clothing,South,160,15,128,19.63,11.07,15,Snowy,0,8.57,Spring,166.05,8,2,12.956328000000003,194.34492000000003,13.0626,16.209892,211.74333880462646,166.05
2023-08-09,S003,P0004,Electronics,West,277,184,55,176.62,53.76,5,Cloudy,1,51.2,Autumn,9891.84,8,2,53.6256,9867.1104,64.512,170.07143,10971.647859375,9891.84
2023-08-09,S003,P0003,Toys,East,316,145,53,141.77,20.75,0,Rainy,1,20.76,Autumn,3008.75,8,2,20.75,3008.75,24.9,136.26953,3393.111328125,3008.75
2023-08-09,S002,P0005,Clothing,South,250,213,124,205.92,88.61,0,Sunny,1,87.82,Summer,18873.93,8,2,90.91386,19364.65218,106.332,199.90865,21256.686107116697,18873.93
2023-08-09,S003,P0001,Groceries,West,331,80,41,91.47,23.77,5,Sunny,0,25.61,Spring,1901.6,8,2,23.77,1901.6,28.523999999999997,86.60481,2470.3156752319333,1901.6
2023-08-09,S002,P0020,Groceries,North,305,147,162,152.91,88.79,20,Rainy,0,88.11,Summer,13052.13,8,2,88.79,13052.130000000001,106.548,147.6838,15735.4143079834,13052.130000000001
2023-08-09,S002,P0019,Electronics,South,148,102,171,116.96,62.06,20,Sunny,0,59.63,Summer,6330.12,8,2,58.957,6013.6140000000005,74.472,113.37159,8443.009025207519,6330.12
2023-08-09,S002,P0018,Clothing,North,423,352,96,349.67,56.64,5,Cloudy,0,56.23,Autumn,19937.28,8,2,61.018271999999996,21478.431743999998,67.968,342.67334,23290.8215625,19937.28
2023-08-09,S003,P0002,Toys,North,125,74,75,93.05,11.06,0,Rainy,1,9.4,Winter,818.44,8,2,12.944624000000003,957.9021760000002,13.272,86.25846,1144.8222943725586,818.44
2023-08-09,S002,P0016,Clothing,North,274,143,131,137.68,29.54,10,Rainy,0,26.83,Winter,4224.22,8,2,28.063,4013.009,35.448,133.21298,4722.133792236328,4224.22
2023-08-09,S002,P0015,Clothing,East,263,100,125,93.12,88.44,10,Snowy,1,92.57,Summer,8844.0,8,2,92.862,9286.199999999999,106.128,88.851364,9429.617572998048,8844.0
2023-08-09,S002,P0014,Furniture,East,73,15,103,7.61,61.47,20,Snowy,1,60.0,Spring,922.05,8,2,61.47,922.05,73.764,7.8634534,580.0397757282257,922.05
2023-08-09,S002,P0013,Groceries,South,269,11,174,7.63,85.73,15,Sunny,1,81.89,Spring,943.03,8,2,81.4435,895.8785,92.58840000000001,11.315719,1047.7042847293856,943.0300000000001
2023-08-09,S002,P0012,Furniture,North,399,283,150,277.39,99.21,15,Cloudy,1,97.3,Summer,28076.43,8,2,106.878933,30246.738039,119.05199999999999,270.31888,32182.003084350585,28076.429999999997
2023-08-09,S002,P0011,Toys,South,165,71,39,85.44,95.48,15,Rainy,1,90.77,Summer,6779.08,8,2,111.74979200000003,7934.235232000002,114.57600000000001,83.59948,9578.493983276368,6779.08
2023-08-09,S002,P0010,Electronics,South,108,62,46,68.91,13.87,5,Sunny,1,10.21,Autumn,859.9399999999999,8,2,13.176499999999999,816.943,16.644,64.56567,1074.6309482116699,859.9399999999999
2023-08-09,S002,P0009,Electronics,North,260,237,180,233.12,48.5,15,Sunny,1,49.28,Spring,11494.5,8,2,49.761,11793.357,58.199999999999996,225.51122,13124.752725219725,11494.5
2023-08-09,S002,P0008,Furniture,North,322,20,157,27.39,17.05,0,Sunny,1,21.96,Spring,341.0,8,2,20.050800000000006,401.01600000000013,20.46,21.034771,430.37141395568847,341.0
2023-08-09,S002,P0007,Clothing,North,198,14,80,31.1,77.06,15,Rainy,1,73.5,Autumn,1078.84,8,2,90.19102400000001,1262.6743360000003,92.472,26.31565,2433.4608737182616,1078.8400000000001
2023-08-09,S002,P0017,Furniture,East,389,74,135,93.98,54.22,20,Cloudy,0,56.94,Spring,4012.28,8,2,60.57458400000001,4482.519216000001,65.064,88.81691,5778.783418579101,4012.2799999999997
2023-08-10,S004,P0005,Toys,South,437,145,140,154.69,12.62,5,Sunny,0,13.04,Winter,1829.9,8,3,12.62,1829.8999999999999,15.143999999999998,149.22185,2259.815659057617,1829.8999999999999
2023-08-10,S004,P0006,Electronics,West,135,129,194,144.16,95.56,5,Cloudy,1,91.96,Summer,12327.24,8,3,95.3211,12296.4219,114.672,130.00636,14908.08964819336,12327.24
2023-08-10,S004,P0007,Toys,North,214,145,27,148.14,74.5,5,Snowy,1,75.63,Winter,10802.5,8,3,74.5,10802.5,89.39999999999999,144.16391,12888.253546142578,10802.5
2023-08-10,S004,P0008,Toys,West,289,184,178,174.33,34.48,10,Sunny,1,36.22,Autumn,6344.32,8,3,34.48,6344.32,41.376,169.60318,7017.501172851562,6344.32
2023-08-10,S004,P0013,Groceries,East,65,8,50,22.25,97.43,15,Sunny,1,98.38,Winter,779.44,8,3,114.03207200000003,912.2565760000002,97.43,17.226707,1678.3981076812745,779.44
2023-08-10,S004,P0010,Furniture,West,189,71,33,74.8,32.62,15,Snowy,0,33.26,Autumn,2316.02,8,3,32.62,2316.02,39.144,67.40174,2638.373750793457,2316.02
2023-08-10,S004,P0011,Toys,South,355,15,157,18.1,53.72,5,Cloudy,1,51.75,Winter,805.8,8,3,60.015984,900.23976,62.3152,14.127175,880.3377561935424,805.8
2023-08-10,S004,P0012,Clothing,South,260,1,177,19.65,25.54,0,Rainy,1,27.51,Winter,25.54,8,3,28.6048,28.6048,30.647999999999996,12.965899,397.37888687896725,25.54
2023-08-10,S004,P0009,Clothing,North,87,59,169,60.48,50.63,5,Rainy,1,45.74,Summer,2987.17,8,3,48.0985,2837.8115000000003,60.756,57.114143,3470.026894683838,2987.17
2023-08-10,S004,P0004,Electronics,North,67,49,145,48.72,83.33,0,Cloudy,0,79.07,Spring,4083.17,8,3,83.121675,4072.962075,98.32939999999999,44.479958,4373.687540922546,4083.17
2023-08-10,S003,P0012,Groceries,North,191,36,55,48.73,46.16,10,Snowy,1,46.89,Autumn,1661.7599999999998,8,3,54.025664,1944.923904,55.391999999999996,44.325745,2455.2916464843747,1661.7599999999998
2023-08-10,S004,P0002,Groceries,West,159,153,173,171.11,27.29,10,Snowy,1,31.65,Autumn,4175.37,8,3,28.6545,4384.1385,32.748,156.86351,5136.966229797363,4175.37
2023-08-10,S004,P0001,Clothing,North,271,212,86,205.63,27.55,20,Rainy,0,31.39,Autumn,5840.6,8,3,29.754,6307.848,33.06,200.46114,6627.245151672364,5840.6
2023-08-10,S003,P0020,Toys,North,228,155,167,150.79,20.78,0,Sunny,1,25.16,Winter,3220.9,8,3,21.819000000000003,3381.9450000000006,24.936,146.34969,3649.3757618408204,3220.9
2023-08-10,S003,P0019,Electronics,South,336,19,87,23.79,14.11,20,Rainy,0,12.72,Autumn,268.09,8,3,15.01304,285.24776,16.932,20.384209,345.14542135620115,268.09
2023-08-10,S003,P0018,Toys,East,136,105,172,97.12,41.08,20,Snowy,0,41.13,Winter,4313.4,8,3,41.08,4313.4,49.296,91.763176,4523.557522338867,4313.4
2023-08-10,S003,P0017,Clothing,East,375,292,42,290.39,54.02,15,Sunny,1,53.06,Summer,15773.84,8,3,55.42452,16183.95984,64.824,286.2742,18557.43876928711,15773.84
2023-08-10,S003,P0016,Groceries,South,274,217,34,226.7,69.95,10,Sunny,1,68.37,Summer,15179.15,8,3,71.76870000000001,15573.807900000002,83.94,225.01944,18888.131768188476,15179.150000000001
2023-08-10,S003,P0015,Groceries,East,357,95,199,110.52,95.14,5,Snowy,0,90.29,Autumn,9038.3,8,3,90.383,8586.385,114.16799999999999,104.16446,11892.247981201172,9038.3
2023-08-10,S003,P0014,Clothing,East,440,287,91,291.39,27.78,15,Cloudy,0,28.54,Spring,7972.860000000001,8,3,29.927394000000007,8589.162078000001,33.336,288.39615,9613.974012451172,7972.860000000001
