OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,TotalAmount,City,SellerID
ORD0041332,2020-02-12,CUST045676,P00028,5,564.67,0.25,2505.17,Columbus,SELL01334
ORD0014889,2020-06-14,CUST018656,P00024,1,522.61,0.0,549.03,New York,SELL00469
ORD0088637,2021-02-11,CUST044292,P00012,2,330.68,0.0,725.88,Philadelphia,SELL00806
ORD0094893,2024-08-01,CUST027426,P00019,2,437.39,0.0,925.25,Charlotte,SELL01867
ORD0092732,2021-04-05,CUST010231,P00036,5,333.4,0.15,1530.91,Fort Worth,SELL00366
ORD0029131,2022-11-24,CUST000209,P00010,3,555.25,0.3,1239.15,Fort Worth,SELL01209
ORD0079023,2024-04-06,CUST022147,P00025,5,59.45,0.25,256.11,Houston,SELL00509
ORD0084937,2024-08-25,CUST038220,P00014,3,501.11,0.1,1471.44,Chicago,SELL01714
ORD0016822,2022-07-18,CUST039086,P00005,4,397.29,0.05,1639.07,Los Angeles,SELL01875
ORD0036734,2024-07-14,CUST024276,P00005,3,258.65,0.15,660.8,Phoenix,SELL01913
ORD0015603,2021-04-19,CUST049051,P00038,3,443.07,0.1,1197.24,San Antonio,SELL00679
ORD0028534,2023-08-11,CUST012233,P00017,2,512.82,0.05,1052.72,Charlotte,SELL01973
ORD0069770,2024-07-21,CUST009057,P00013,4,157.14,0.0,683.47,Los Angeles,SELL01617
ORD0011406,2024-03-07,CUST049991,P00018,4,265.13,0.0,1118.03,San Diego,SELL01182
ORD0096853,2022-11-17,CUST049442,P00027,5,503.06,0.2,2185.69,Philadelphia,SELL01012
ORD0016131,2022-05-24,CUST026050,P00027,1,84.48,0.1,77.74,Dallas,SELL01372
ORD0019793,2023-09-21,CUST025723,P00001,1,129.87,0.0,156.5,San Jose,SELL01033
ORD0089578,2022-03-10,CUST020784,P00034,5,488.32,0.0,2643.55,Seattle,SELL00676
ORD0040164,2021-10-25,CUST008456,P00012,5,550.11,0.0,2900.89,Chicago,SELL00497
ORD0031777,2024-02-07,CUST015813,P00022,5,225.7,0.05,1202.68,Los Angeles,SELL00577
ORD0025331,2020-09-22,CUST014980,P00050,1,492.21,0.05,496.15,Charlotte,SELL00675
ORD0079157,2021-04-29,CUST010310,P00023,2,554.19,0.1,1049.15,Los Angeles,SELL00758
ORD0051686,2021-03-26,CUST046424,P00034,5,349.77,0.0,1899.51,Fort Worth,SELL01873
ORD0075499,2022-01-01,CUST016163,P00026,5,112.12,0.2,502.38,Phoenix,SELL01840
ORD0004728,2020-06-10,CUST002696,P00028,3,378.03,0.0,1230.9,Los Angeles,SELL01978
ORD0085199,2021-10-19,CUST036779,P00039,3,451.31,0.15,1300.99,Seattle,SELL00143
ORD0035796,2020-11-06,CUST018141,P00043,5,83.97,0.05,427.19,San Francisco,SELL00387
ORD0012257,2024-04-29,CUST038211,P00008,5,486.1,0.1,2452.89,Houston,SELL01824
ORD0035719,2021-06-09,CUST029572,P00036,4,517.63,0.0,2249.66,Jacksonville,SELL00928
ORD0070552,2023-06-21,CUST027329,P00029,5,326.34,0.05,1688.39,Columbus,SELL00795
ORD0054375,2022-01-07,CUST037822,P00014,2,13.35,0.0,35.96,Indianapolis,SELL01768
ORD0039692,2020-03-15,CUST021298,P00001,4,116.84,0.1,509.31,Phoenix,SELL01331
ORD0093703,2023-12-31,CUST000021,P00008,5,381.41,0.0,2253.82,Columbus,SELL01299
ORD0073692,2020-03-01,CUST022652,P00004,5,300.18,0.05,1604.16,San Antonio,SELL00978
ORD0098071,2020-09-19,CUST043968,P00016,5,491.88,0.2,2139.03,Indianapolis,SELL01138
ORD0000576,2023-07-19,CUST043585,P00016,5,584.19,0.1,2765.95,Dallas,SELL01018
ORD0084611,2020-07-31,CUST041153,P00050,1,587.3,0.05,610.11,San Diego,SELL00669
ORD0061770,2024-05-26,CUST010990,P00017,3,206.47,0.1,624.59,Chicago,SELL00163
ORD0032261,2023-02-07,CUST048495,P00012,5,220.21,0.0,1192.98,Fort Worth,SELL00262
ORD0082200,2023-12-23,CUST026521,P00016,1,152.28,0.0,170.5,San Diego,SELL00572
ORD0036291,2022-01-18,CUST030570,P00023,5,357.16,0.0,1788.13,Jacksonville,SELL01604
ORD0078450,2023-10-31,CUST011601,P00028,2,228.61,0.05,458.45,San Jose,SELL01753
ORD0060056,2023-10-12,CUST012521,P00048,3,466.59,0.05,1409.51,Houston,SELL01866
ORD0045949,2022-04-28,CUST000056,P00016,5,576.61,0.2,2722.36,Washington,SELL00893
ORD0028178,2024-04-21,CUST044478,P00021,5,464.0,0.25,1887.4,San Antonio,SELL00398
ORD0084464,2023-08-30,CUST022419,P00011,3,296.9,0.05,890.32,Austin,SELL01150
ORD0000579,2024-01-10,CUST013323,P00022,1,517.9,0.05,561.54,San Diego,SELL01593
ORD0030960,2023-02-27,CUST027790,P00037,4,349.5,0.05,1333.75,Fort Worth,SELL01131
ORD0064291,2020-08-31,CUST001373,P00041,3,87.81,0.15,253.3,Phoenix,SELL00327
ORD0014532,2024-06-26,CUST040088,P00004,2,99.35,0.05,203.9,San Antonio,SELL01765
ORD0017934,2023-11-13,CUST026553,P00004,5,72.4,0.25,313.57,Washington,SELL00814
ORD0033609,2023-12-24,CUST023786,P00003,4,589.29,0.15,2111.63,Chicago,SELL00207
ORD0049960,2021-04-30,CUST008777,P00040,3,36.79,0.0,111.39,New York,SELL01028
ORD0066599,2020-07-14,CUST010075,P00043,1,154.19,0.15,148.16,Washington,SELL01241
ORD0099090,2021-11-18,CUST013248,P00049,3,544.51,0.05,1748.58,Chicago,SELL01779
ORD0034452,2022-04-07,CUST004344,P00005,2,269.71,0.15,528.02,Columbus,SELL01933
ORD0034081,2020-07-21,CUST033149,P00032,3,190.92,0.0,647.49,San Francisco,SELL00371
ORD0063588,2023-10-28,CUST018648,P00039,3,244.69,0.0,793.55,Austin,SELL01671
ORD0004294,2023-12-24,CUST028511,P00050,5,12.8,0.0,79.61,Seattle,SELL01623
ORD0069103,2022-01-03,CUST027499,P00014,1,194.54,0.05,207.43,Washington,SELL01934
ORD0086412,2023-07-06,CUST030977,P00026,5,126.99,0.0,723.55,San Francisco,SELL00235
ORD0099477,2023-08-08,CUST022129,P00050,1,515.24,0.05,534.16,Charlotte,SELL00718
ORD0053930,2021-04-13,CUST025394,P00003,5,108.73,0.2,478.8,Los Angeles,SELL00713
ORD0087071,2021-06-13,CUST014245,P00012,2,304.96,0.1,623.73,San Francisco,SELL01450
ORD0065084,2023-03-18,CUST020417,P00029,4,424.65,0.05,1756.38,New York,SELL00306
ORD0030713,2022-02-14,CUST005934,P00043,3,170.11,0.25,414.89,San Francisco,SELL00547
ORD0049183,2022-03-17,CUST038754,P00043,4,297.37,0.0,1198.39,Columbus,SELL01807
ORD0057235,2022-01-18,CUST037621,P00015,3,497.42,0.05,1543.04,Austin,SELL01112
ORD0015664,2021-09-09,CUST031099,P00037,5,346.2,0.1,1635.94,Charlotte,SELL01973
ORD0019967,2021-08-25,CUST043037,P00020,1,5.19,0.0,7.51,Phoenix,SELL00189
ORD0091913,2023-05-01,CUST011479,P00036,1,361.86,0.05,392.99,San Diego,SELL01599
ORD0091958,2021-09-29,CUST012209,P00017,1,238.67,0.1,236.41,Fort Worth,SELL01785
ORD0081347,2022-12-31,CUST000159,P00034,4,534.74,0.1,1935.94,Houston,SELL00385
ORD0055326,2020-12-02,CUST049231,P00038,1,22.29,0.25,22.59,San Diego,SELL00620
ORD0029858,2022-09-20,CUST047988,P00049,4,324.66,0.05,1299.21,Dallas,SELL01144
ORD0071223,2020-05-21,CUST029265,P00007,5,416.61,0.15,1866.46,Jacksonville,SELL00503
ORD0052459,2024-01-31,CUST017296,P00019,3,197.31,0.15,573.41,Phoenix,SELL00815
ORD0088346,2022-11-03,CUST030849,P00028,3,410.34,0.0,1296.49,Washington,SELL00268
ORD0082364,2022-05-17,CUST006554,P00017,5,531.7,0.05,2729.7,Phoenix,SELL00221
ORD0065350,2020-12-15,CUST000188,P00010,1,51.6,0.05,56.32,Seattle,SELL01533
ORD0059650,2023-02-16,CUST000071,P00003,5,293.27,0.05,1510.9,Jacksonville,SELL01946
ORD0044953,2022-03-26,CUST008801,P00041,5,53.36,0.0,280.95,Chicago,SELL01242
ORD0039526,2020-12-09,CUST024616,P00040,4,556.33,0.0,2411.54,Denver,SELL00272
ORD0013936,2020-01-25,CUST006284,P00022,4,285.01,0.0,1238.03,Washington,SELL01101
ORD0093781,2020-04-18,CUST013706,P00032,1,353.15,0.0,385.05,Los Angeles,SELL01696
ORD0089885,2024-06-14,CUST038789,P00014,4,152.65,0.1,589.82,Houston,SELL00680
ORD0081144,2021-07-20,CUST008005,P00044,1,243.13,0.25,203.43,Dallas,SELL01449
ORD0095800,2020-08-23,CUST023010,P00037,1,113.67,0.0,132.4,San Antonio,SELL01154
ORD0089405,2023-04-09,CUST029781,P00038,4,66.79,0.0,290.52,Washington,SELL00338
ORD0055224,2020-12-08,CUST006598,P00023,2,160.92,0.0,335.24,Philadelphia,SELL01213
ORD0073646,2020-09-19,CUST023056,P00024,2,199.03,0.2,358.42,Charlotte,SELL01426
ORD0066294,2020-08-15,CUST005133,P00008,3,87.42,0.0,289.45,New York,SELL01263
ORD0065540,2020-11-10,CUST026822,P00023,3,550.81,0.3,1297.89,San Jose,SELL01978
ORD0028111,2021-08-27,CUST012730,P00019,3,499.1,0.05,1545.06,Charlotte,SELL00613
ORD0041929,2021-05-03,CUST027373,P00008,4,411.86,0.1,1489.57,Los Angeles,SELL00020
ORD0086547,2021-03-12,CUST030433,P00045,3,445.47,0.1,1433.32,Austin,SELL00094
ORD0082586,2023-06-27,CUST015750,P00047,4,254.37,0.0,1103.51,Jacksonville,SELL00890
ORD0038604,2022-07-28,CUST028817,P00025,1,591.57,0.1,603.16,Indianapolis,SELL00176
ORD0091658,2024-07-08,CUST019308,P00042,4,335.63,0.0,1421.7,Los Angeles,SELL01358
ORD0062787,2020-07-11,CUST008233,P00044,3,17.52,0.1,61.46,Columbus,SELL00760
ORD0084341,2023-10-03,CUST016721,P00017,2,442.7,0.05,921.46,Phoenix,SELL00735
ORD0039875,2022-04-11,CUST028684,P00030,5,540.41,0.25,2136.36,Dallas,SELL00960
ORD0078469,2021-05-18,CUST024226,P00022,5,163.4,0.25,674.21,Columbus,SELL00408
ORD0031632,2024-10-25,CUST011620,P00048,4,350.88,0.1,1416.59,Seattle,SELL01900
ORD0014953,2024-09-22,CUST044494,P00036,5,54.23,0.25,250.29,San Francisco,SELL01166
ORD0039332,2023-08-16,CUST017698,P00034,5,85.06,0.1,429.36,Philadelphia,SELL01742
ORD0048588,2023-06-29,CUST048425,P00021,1,559.49,0.1,537.95,Dallas,SELL00218
ORD0083595,2021-07-02,CUST028357,P00039,2,500.23,0.0,1183.74,Indianapolis,SELL00822
ORD0041488,2022-07-18,CUST006176,P00046,5,476.65,0.1,2149.72,Philadelphia,SELL00141
ORD0039628,2023-09-25,CUST020457,P00038,2,228.33,0.0,517.31,San Antonio,SELL01743
ORD0087895,2024-02-03,CUST039226,P00005,3,367.84,0.3,843.45,Seattle,SELL01860
ORD0026304,2024-03-17,CUST032564,P00009,4,14.78,0.05,62.18,Los Angeles,SELL01044
ORD0067404,2023-01-08,CUST030205,P00025,4,280.19,0.15,958.71,San Diego,SELL01885
ORD0098085,2022-04-18,CUST028208,P00024,5,11.39,0.05,67.28,San Jose,SELL00661
ORD0095602,2023-10-13,CUST034565,P00036,1,198.98,0.1,204.56,Columbus,SELL00938
ORD0005020,2024-06-14,CUST042587,P00003,3,52.31,0.0,177.87,San Francisco,SELL01658
ORD0005224,2024-10-18,CUST010656,P00034,3,171.97,0.15,463.48,Chicago,SELL00036
ORD0015781,2022-11-02,CUST022312,P00025,5,124.6,0.15,574.27,San Antonio,SELL00001
ORD0045557,2024-04-30,CUST003773,P00022,5,508.1,0.1,2480.12,San Diego,SELL00958
ORD0012897,2022-06-29,CUST015028,P00003,1,147.65,0.15,148.37,Jacksonville,SELL00995
ORD0034305,2023-06-21,CUST018337,P00028,2,17.18,0.0,43.46,Austin,SELL00894
ORD0093323,2022-05-12,CUST040459,P00039,2,519.23,0.05,1041.2,Chicago,SELL00479
ORD0005325,2024-07-07,CUST025230,P00001,4,218.99,0.2,741.04,Denver,SELL01840
ORD0052926,2021-03-21,CUST044154,P00007,2,420.26,0.2,727.88,San Jose,SELL01044
ORD0062865,2021-06-12,CUST011310,P00029,4,287.29,0.3,858.55,San Antonio,SELL01829
ORD0008019,2020-12-10,CUST011717,P00035,2,535.42,0.0,1213.01,San Antonio,SELL00938
ORD0082945,2023-05-12,CUST001941,P00045,2,138.38,0.05,285.29,Charlotte,SELL00179
ORD0090377,2021-01-22,CUST030978,P00031,3,400.47,0.2,1022.35,San Antonio,SELL01687
ORD0041721,2023-04-28,CUST049855,P00024,2,84.68,0.0,194.84,San Antonio,SELL00286
ORD0000867,2023-10-28,CUST015345,P00022,4,235.56,0.05,967.55,San Antonio,SELL01058
ORD0098444,2023-03-07,CUST007331,P00048,3,276.88,0.0,837.12,San Francisco,SELL00163
ORD0083040,2021-02-12,CUST039632,P00029,4,85.42,0.0,372.4,Dallas,SELL00659
ORD0013925,2022-01-07,CUST048640,P00021,1,599.38,0.0,651.62,Phoenix,SELL00812
ORD0079893,2022-05-14,CUST003861,P00034,1,146.62,0.0,166.9,Chicago,SELL00149
ORD0031184,2021-04-18,CUST048133,P00012,3,37.17,0.05,111.58,Washington,SELL01621
ORD0013800,2022-08-18,CUST044487,P00015,1,357.09,0.0,369.72,Seattle,SELL00559
ORD0040989,2024-09-17,CUST014989,P00012,3,456.33,0.0,1487.21,Austin,SELL00570
ORD0066734,2021-05-08,CUST027742,P00046,1,503.56,0.0,541.59,Austin,SELL00665
ORD0078331,2021-05-12,CUST028415,P00025,5,507.55,0.05,2533.53,Charlotte,SELL01268
ORD0024379,2021-10-16,CUST025844,P00024,3,53.84,0.0,182.48,Columbus,SELL00570
ORD0023415,2020-01-15,CUST049447,P00012,4,59.3,0.0,263.92,Charlotte,SELL01141
ORD0097560,2024-10-04,CUST000814,P00042,3,587.04,0.2,1578.63,Houston,SELL00713
ORD0022993,2021-10-07,CUST005651,P00018,5,135.01,0.0,689.88,Chicago,SELL00618
ORD0003232,2022-09-18,CUST046427,P00023,4,28.38,0.0,129.87,Charlotte,SELL01119
ORD0041996,2022-10-18,CUST018333,P00005,5,412.2,0.15,1902.16,Indianapolis,SELL01610
ORD0049188,2022-09-28,CUST047234,P00049,4,111.82,0.05,450.1,Houston,SELL00267
ORD0022515,2022-08-03,CUST007237,P00010,4,143.7,0.05,575.43,Chicago,SELL01750
ORD0021326,2020-06-27,CUST031247,P00034,2,421.83,0.05,870.33,Jacksonville,SELL00626
ORD0086234,2023-04-30,CUST025181,P00004,1,376.27,0.25,336.75,Chicago,SELL00154
ORD0088127,2023-11-24,CUST030165,P00003,4,548.2,0.0,2456.09,Denver,SELL01671
ORD0029824,2020-08-30,CUST046680,P00023,5,563.98,0.0,2829.56,Seattle,SELL01052
ORD0092485,2020-09-24,CUST013835,P00027,5,318.95,0.0,1892.47,Columbus,SELL00509
ORD0068425,2021-06-08,CUST023355,P00022,3,292.18,0.1,886.44,San Diego,SELL00975
ORD0064484,2023-03-14,CUST034647,P00040,4,494.25,0.05,2222.57,Washington,SELL01942
ORD0051020,2023-09-22,CUST043180,P00020,2,145.02,0.0,318.28,Philadelphia,SELL00066
ORD0026754,2024-01-08,CUST040574,P00012,5,101.08,0.05,580.82,San Francisco,SELL00242
ORD0049964,2022-05-12,CUST034205,P00011,4,199.8,0.0,871.58,Jacksonville,SELL01373
ORD0042732,2020-08-11,CUST012139,P00048,1,458.64,0.1,446.08,Dallas,SELL00845
ORD0029057,2024-07-29,CUST014704,P00028,3,595.51,0.05,1790.29,Charlotte,SELL00388
ORD0055318,2022-11-01,CUST040606,P00025,4,286.38,0.2,962.3,Chicago,SELL00564
ORD0035497,2020-10-04,CUST010638,P00010,1,71.23,0.0,84.47,Houston,SELL01829
ORD0056338,2021-02-15,CUST008934,P00025,2,472.5,0.05,979.36,San Diego,SELL00491
ORD0079278,2021-06-29,CUST032867,P00001,1,352.74,0.05,389.8,Charlotte,SELL01144
ORD0005465,2023-06-25,CUST001624,P00005,4,140.83,0.0,667.46,San Francisco,SELL01676
ORD0070156,2023-06-18,CUST009618,P00014,1,76.37,0.05,85.29,Houston,SELL00909
ORD0070670,2021-06-22,CUST021871,P00006,3,486.17,0.05,1502.04,Washington,SELL00153
ORD0056014,2023-05-22,CUST022439,P00011,2,13.05,0.1,27.66,San Francisco,SELL00167
ORD0012086,2020-12-19,CUST043583,P00045,3,80.85,0.15,241.96,Chicago,SELL01521
ORD0056819,2021-05-15,CUST006852,P00004,4,560.56,0.0,2359.63,Houston,SELL00916
ORD0020001,2021-12-12,CUST032735,P00026,1,416.06,0.0,452.45,Dallas,SELL00035
ORD0069067,2024-08-23,CUST021983,P00028,1,58.11,0.05,68.46,Phoenix,SELL01093
ORD0050453,2024-08-25,CUST021233,P00018,2,409.9,0.1,749.43,Fort Worth,SELL00815
ORD0090710,2023-01-08,CUST011245,P00014,1,112.51,0.0,131.82,Denver,SELL01797
ORD0052885,2023-04-23,CUST027162,P00040,3,103.83,0.0,330.01,New York,SELL01264
ORD0030964,2020-03-28,CUST012859,P00036,4,240.04,0.05,965.1,Indianapolis,SELL01242
ORD0034574,2021-04-18,CUST027586,P00025,4,553.06,0.2,1993.14,Phoenix,SELL01037
ORD0015295,2021-02-10,CUST035593,P00023,4,238.84,0.05,958.47,Charlotte,SELL00456
ORD0027919,2022-08-09,CUST032788,P00042,5,545.83,0.15,2520.35,Charlotte,SELL01961
ORD0046121,2021-06-21,CUST003764,P00041,5,173.16,0.0,914.93,San Jose,SELL00009
ORD0035074,2020-01-23,CUST039628,P00024,1,398.01,0.0,430.04,Seattle,SELL00152
ORD0010551,2022-08-01,CUST000018,P00040,1,594.02,0.25,481.6,Fort Worth,SELL00196
ORD0091128,2024-05-11,CUST017623,P00019,1,17.02,0.1,20.0,Charlotte,SELL01797
ORD0000691,2020-07-10,CUST009709,P00011,4,26.16,0.15,96.3,Fort Worth,SELL00709
ORD0077730,2024-06-25,CUST020111,P00013,5,111.13,0.15,501.83,Austin,SELL00787
ORD0036097,2020-03-29,CUST012257,P00024,5,588.2,0.05,2934.52,Indianapolis,SELL01214
ORD0065352,2021-04-23,CUST006920,P00034,3,232.98,0.0,827.93,Houston,SELL01438
ORD0011041,2024-12-24,CUST002809,P00029,1,396.67,0.15,401.77,San Francisco,SELL00263
ORD0004222,2024-07-15,CUST044746,P00030,3,147.65,0.0,500.03,Phoenix,SELL00379
ORD0000822,2021-04-20,CUST048924,P00037,3,321.68,0.1,943.9,Austin,SELL00419
ORD0038129,2023-09-30,CUST046515,P00002,2,321.78,0.0,690.0,San Diego,SELL00714
ORD0089152,2021-01-10,CUST017069,P00027,1,273.57,0.25,222.51,New York,SELL01315
ORD0029232,2022-05-14,CUST043868,P00009,1,345.01,0.05,353.96,Dallas,SELL00011
ORD0050557,2023-02-25,CUST000138,P00009,5,111.28,0.0,606.73,New York,SELL01385
ORD0033685,2024-05-03,CUST012993,P00022,2,269.23,0.0,568.27,Indianapolis,SELL00301
ORD0058754,2022-01-08,CUST034432,P00019,4,177.05,0.05,732.13,Chicago,SELL00617
ORD0027023,2024-10-16,CUST042362,P00040,4,68.07,0.0,324.5,Charlotte,SELL01869
ORD0036906,2023-12-30,CUST037783,P00022,1,385.33,0.0,426.98,Fort Worth,SELL01510
ORD0000271,2023-11-27,CUST023550,P00032,1,85.61,0.0,103.1,Seattle,SELL01202
ORD0008867,2024-04-28,CUST039286,P00043,4,342.97,0.05,1539.29,San Diego,SELL00433
ORD0015007,2023-03-29,CUST021387,P00002,4,34.81,0.0,153.72,San Francisco,SELL00578
ORD0004689,2024-10-12,CUST046702,P00047,1,333.95,0.2,312.3,Austin,SELL00069
ORD0081996,2022-12-01,CUST035134,P00045,2,245.1,0.0,495.69,Chicago,SELL00726
ORD0084373,2021-07-04,CUST009329,P00001,5,58.27,0.25,258.75,San Jose,SELL01210
ORD0002515,2021-05-25,CUST006781,P00003,5,304.14,0.0,1647.44,Fort Worth,SELL00458
ORD0036400,2024-08-23,CUST008155,P00013,4,433.73,0.0,1828.89,Philadelphia,SELL00420
ORD0038869,2021-11-16,CUST006328,P00038,3,446.31,0.1,1217.58,Los Angeles,SELL01448
ORD0058245,2020-11-01,CUST016610,P00008,1,300.21,0.15,282.62,Chicago,SELL01252
ORD0030410,2022-05-30,CUST007955,P00011,1,84.99,0.15,83.32,San Jose,SELL00202
ORD0054795,2023-03-15,CUST042383,P00035,5,401.97,0.05,2139.21,Columbus,SELL01915
ORD0019264,2024-12-18,CUST023949,P00037,1,90.06,0.15,85.76,Columbus,SELL01502
ORD0083910,2020-12-18,CUST025816,P00026,1,537.91,0.1,548.45,Phoenix,SELL01194
ORD0026974,2024-04-21,CUST005390,P00030,2,563.69,0.05,1200.53,Philadelphia,SELL00419
ORD0007130,2021-04-15,CUST030797,P00037,4,180.78,0.0,822.1,Austin,SELL01513
ORD0007145,2023-02-13,CUST042016,P00036,2,384.15,0.0,838.43,Phoenix,SELL01871
ORD0045466,2024-11-22,CUST006827,P00002,4,472.7,0.05,1898.03,Chicago,SELL01997
ORD0001967,2024-11-11,CUST044445,P00021,4,231.09,0.0,1010.87,New York,SELL01107
ORD0015153,2022-07-13,CUST041490,P00050,1,134.27,0.3,102.67,Houston,SELL00832
ORD0019114,2022-07-11,CUST018469,P00009,2,591.95,0.0,1327.4,Austin,SELL01369
ORD0076207,2022-05-01,CUST017339,P00045,5,34.97,0.25,169.09,Columbus,SELL01087
ORD0032142,2022-02-22,CUST028434,P00005,5,578.26,0.0,3124.03,Seattle,SELL00044
ORD0021935,2020-03-22,CUST025885,P00047,4,524.24,0.05,2163.29,Phoenix,SELL00807
ORD0040360,2024-10-11,CUST000916,P00011,3,568.28,0.0,1790.99,New York,SELL00096
ORD0053842,2022-12-02,CUST030245,P00041,2,136.52,0.1,301.96,Charlotte,SELL01156
ORD0009163,2021-09-30,CUST049174,P00050,5,255.9,0.0,1289.8,Los Angeles,SELL01433
ORD0087844,2024-10-23,CUST047045,P00040,4,517.71,0.05,1972.68,San Francisco,SELL01005
ORD0037630,2021-10-19,CUST044935,P00003,3,193.74,0.0,696.42,Chicago,SELL01055
ORD0083305,2022-07-04,CUST022935,P00012,1,347.09,0.1,347.27,Chicago,SELL00602
ORD0066270,2020-03-04,CUST015776,P00032,1,238.62,0.0,295.86,New York,SELL00130
ORD0034654,2022-10-08,CUST006707,P00034,1,383.63,0.2,344.1,Los Angeles,SELL00749
ORD0041963,2023-04-20,CUST028990,P00026,1,473.69,0.0,497.63,San Antonio,SELL00237
ORD0039591,2023-05-17,CUST044317,P00007,5,569.01,0.0,3085.76,Los Angeles,SELL01609
ORD0081036,2023-02-28,CUST023570,P00007,1,261.8,0.0,283.62,Los Angeles,SELL00311
ORD0010981,2022-04-28,CUST024223,P00016,1,78.29,0.05,89.6,Jacksonville,SELL00671
ORD0056300,2023-05-27,CUST004075,P00021,5,512.63,0.15,2445.85,Phoenix,SELL00807
ORD0061549,2021-02-27,CUST013926,P00020,5,403.3,0.0,2127.7,San Diego,SELL01821
ORD0088401,2024-05-12,CUST002403,P00007,2,262.24,0.05,532.03,Dallas,SELL00295
ORD0044324,2023-12-07,CUST000665,P00024,4,269.56,0.0,1174.99,Philadelphia,SELL00357
ORD0055208,2024-11-21,CUST031996,P00019,1,495.2,0.0,527.07,Jacksonville,SELL01545
ORD0053528,2020-11-08,CUST020361,P00047,3,165.32,0.2,477.61,San Francisco,SELL01947
ORD0026971,2023-04-04,CUST035655,P00002,1,140.47,0.0,158.48,Chicago,SELL00325
ORD0073218,2024-11-03,CUST049128,P00050,1,546.53,0.0,603.21,San Diego,SELL00834
ORD0065891,2020-06-15,CUST007860,P00043,3,279.12,0.05,846.68,Austin,SELL01280
ORD0042222,2022-02-15,CUST026974,P00036,1,146.5,0.05,157.05,Jacksonville,SELL01841
ORD0097866,2021-05-14,CUST010348,P00039,1,382.73,0.2,330.82,San Antonio,SELL00331
ORD0012251,2020-05-17,CUST038765,P00012,2,508.11,0.1,915.44,San Francisco,SELL00221
ORD0069437,2024-02-05,CUST000726,P00043,5,423.74,0.1,2003.91,Charlotte,SELL00754
ORD0038433,2024-08-18,CUST001169,P00041,2,116.1,0.0,259.07,Indianapolis,SELL00920
ORD0040890,2023-04-20,CUST010709,P00038,2,186.11,0.05,371.33,San Diego,SELL00681
ORD0030999,2023-04-27,CUST001519,P00043,5,493.43,0.0,2773.16,Denver,SELL00963
ORD0056146,2020-02-08,CUST035015,P00022,5,6.95,0.25,30.15,San Jose,SELL00111
ORD0095414,2022-02-03,CUST035968,P00046,5,57.5,0.0,312.92,San Francisco,SELL01426
ORD0022156,2023-05-28,CUST027590,P00047,5,254.47,0.2,1070.13,Houston,SELL00807
ORD0017614,2024-01-22,CUST008151,P00013,5,22.61,0.0,131.75,Phoenix,SELL01129
ORD0056444,2020-11-19,CUST012817,P00050,3,249.31,0.1,733.84,San Diego,SELL00544
